Inglourious Basterds,2009,R,2h 33min,War",8.3
The Kid,1921,NOT RATED,1h 8min,Family",8.4
L.A. Confidential,1997,R,2h 18min,Mystery",8.3
For a Few Dollars More,1965,APPROVED,2h 12min,Western",8.3
Rashômon,1950,UNRATED,1h 28min,Drama",8.3
The Apartment,1960,APPROVED,2h 5min,Romance",8.3
Indiana Jones and the Last Crusade,1989,PG-13,2h 7min,Fantasy",8.3
Scarface,1983,R,2h 50min,Drama",8.3
Jodaeiye Nader az Simin,2011,PG-13,2h 3min,Mystery",8.4
Metropolis,1927,NOT RATED,2h 33min,Sci-Fi",8.3
All About Eve,1950,APPROVED,2h 18min,Drama",8.3
3 Idiots,2009,PG-13,2h 50min,Drama",8.4
Yojimbo,1961,UNRATED,1h 50min,Thriller",8.3
Jagten,2012,R,1h 55min,Drama",8.3
Batman Begins,2005,PG-13,2h 20min,Adventure",8.3
The Treasure of the Sierra Madre,1948,NOT RATED,2h 6min,Drama",8.3
Some Like It Hot,1959,NOT RATED,2h,Romance",8.3
Good Will Hunting,1997,R,2h 6min,Drama",8.3
Up,2009,PG,1h 36min,Comedy",8.3
Unforgiven,1992,R,2h 11min,Western",8.3
The Third Man,1949,NOT RATED,1h 33min,Thriller",8.3
Children of Heaven,1997,PG,1h 29min,Family",8.5
Raging Bull,1980,R,2h 9min,Sport",8.3
Downfall,2004,R,2h 36min,History",8.3
Inside Out,2015,PG,1h 35min,Comedy",8.3
Die Hard,1988,R,2h 11min,Thriller",8.2
The Great Escape,1963,APPROVED,2h 52min,History",8.3
Chinatown,1974,R,2h 10min,Thriller",8.2
Heat,1995,R,2h 50min,Drama",8.2
Room,2015,R,1h 58min,Drama",8.3
Pan's Labyrinth,2006,R,1h 58min,War",8.2
On the Waterfront,1954,NOT RATED,1h 48min,Romance",8.3
My Neighbor Totoro,1988,G,1h 26min,Fantasy",8.3
Ikiru,1952,NOT RATED,2h 23min,Drama",8.3
Ran,1985,R,2h 42min,Drama",8.3
The Gold Rush,1925,NOT RATED,1h 35min,Drama",8.3
Mr. Smith Goes to Washington,1939,NOT RATED,2h 9min,Drama",8.3
The Bridge on the River Kwai,1957,PG,2h 41min,War",8.2
The Secret in Their Eyes,2009,R,2h 9min,Thriller",8.2
Blade Runner,1982,R,1h 57min,Thriller",8.2
The Seventh Seal,1957,NOT RATED,1h 36min,Fantasy",8.2
"Lock, Stock and Two Smoking Barrels",1998,R,1h 47min,Crime",8.2
Sunrise,1927,NOT RATED,1h 34min,Romance",8.3
Howl's Moving Castle,2004,PG,1h 59min,Family",8.2
Casino,1995,R,2h 58min,Drama",8.2
Star Wars: The Force Awakens,2015,PG-13,2h 16min,Fantasy",8.2
The General,1926,UNRATED,1h 7min,Comedy",8.2
Wild Strawberries,1957,UNRATED,1h 31min,Romance",8.2
The Elephant Man,1980,PG,2h 4min,Drama",8.2
Warrior,2011,PG-13,2h 20min,Sport",8.2
The Wolf of Wall Street,2013,R,3h,Crime",8.2
Judgment at Nuremberg,1961,NOT RATED,3h 6min,War",8.3
A Beautiful Mind,2001,PG-13,2h 15min,Drama",8.2
Tokyo Story,1953,NOT RATED,2h 16min,Drama",8.3
V for Vendetta,2005,R,2h 12min,Thriller",8.2
Incendies,2010,R,2h 19min,War",8.2
Gran Torino,2008,R,1h 56min,Drama",8.2
The Big Lebowski,1998,R,1h 57min,Crime",8.2
The Message,1976,PG,2h 57min,Drama",8.5
Captain America: Civil War,2016,PG-13,2h 27min,Sci-Fi",8.2
The Deer Hunter,1978,R,3h 3min,War",8.2
Trainspotting,1996,R,1h 34min,Drama",8.2
Rebecca,1940,NOT RATED,2h 10min,Mystery",8.2
Fargo,1996,R,1h 38min,Thriller",8.2
Gone with the Wind,1939,G,3h 58min,Romance",8.2
Dial M for Murder,1954,PG,1h 45min,Thriller",8.2
Cool Hand Luke,1967,PG,2h 6min,Drama",8.2
How to Train Your Dragon,2010,PG,1h 38min,Family",8.2
The Sixth Sense,1999,PG-13,1h 47min,Thriller",8.1
Finding Nemo,2003,G,1h 40min,Comedy",8.2
The Thing,1982,R,1h 49min,Sci-Fi",8.2
No Country for Old Men,2007,R,2h 2min,Thriller",8.1
Into the Wild,2007,R,2h 28min,Drama",8.2
Mary and Max,2009,NOT RATED,1h 32min,Drama",8.2
Gone Girl,2014,R,2h 29min,Mystery",8.1
Kill Bill: Vol. 1,2003,R,1h 51min,Action",8.1
It Happened One Night,1934,UNRATED,1h 45min,Romance",8.2
Nights of Cabiria,1957,NOT RATED,1h 50min,Drama",8.3
Life of Brian,1979,R,1h 34min,Comedy",8.1
Rush,2013,R,2h 3min,Drama",8.1
Zootopia,2016,PG,1h 48min,Adventure",8.2
There Will Be Blood,2007,R,2h 38min,Drama",8.1
Hotel Rwanda,2004,PG-13,2h 1min,War",8.1
Platoon,1986,R,2h,War",8.1
The Maltese Falcon,1941,NOT RATED,1h 40min,Film-Noir",8.1
Spotlight,2015,R,2h 8min,History",8.1
The Wages of Fear,1953,NOT RATED,2h 11min,Thriller",8.2
Network,1976,R,2h 1min,Drama",8.1
Mad Max: Fury Road,2015,R,2h,Sci-Fi",8.1
Butch Cassidy and the Sundance Kid,1969,M,1h 50min,Drama",8.1
Shutter Island,2010,R,2h 18min,Thriller",8.1
The 400 Blows,1959,NOT RATED,1h 39min,Drama",8.1
Stand by Me,1986,R,1h 29min,Drama",8.1
In the Name of the Father,1993,R,2h 13min,History",8.1
